OBJECTID,Longitude,Latitude,ElevationB
2005,-149.62568087200,68.63469099080,-9.70000000000
2006,-149.62564109100,68.63466532090,-10.30000000000
2007,-149.62560985800,68.63464075470,-10.80000000000
2008,-149.62558207700,68.63461751960,-11.20000000000
2009,-149.62555552400,68.63459258750,-10.70000000000
2010,-149.62553554300,68.63456705570,-10.40000000000
2011,-149.62551993400,68.63453888110,-10.70000000000
2012,-149.62550734800,68.63451244220,-11.40000000000
2013,-149.62549887700,68.63448297910,-11.90000000000
2014,-149.62548891600,68.63445241240,-11.90000000000
2015,-149.62548056100,68.63442293260,-11.50000000000
2016,-149.62547569400,68.63438847720,-11.40000000000
2017,-149.62546920200,68.63435521430,-11.00000000000
2018,-149.62545957600,68.63432466630,-10.70000000000
2019,-149.62544871100,68.63429408960,-10.70000000000
2020,-149.62543605400,68.63426353710,-10.60000000000
2021,-149.62542605700,68.63422967510,-10.80000000000
2022,-149.62541216200,68.63420019500,-10.90000000000
2023,-149.62540033600,68.63416908790,-11.30000000000
2024,-149.62538777100,68.63414505860,-11.70000000000
2025,-149.62537598700,68.63412158120,-12.10000000000
2026,-149.62536369600,68.63409811350,-12.40000000000
2027,-149.62535256500,68.63407517950,-12.80000000000
2028,-149.62533982100,68.63405389050,-13.20000000000
2029,-149.62532478800,68.63403370060,-13.50000000000
2030,-149.62531042000,68.63401295400,-13.90000000000
2031,-149.62529231800,68.63398856790,-14.40000000000
2032,-149.62527187200,68.63396306340,-15.20000000000
2033,-149.62524809400,68.63393487230,-15.10000000000
2034,-149.62522807500,68.63390429040,-13.90000000000
2035,-149.62520916800,68.63387102000,-11.70000000000
2036,-149.62519005900,68.63384180880,-12.10000000000
2037,-149.62517281100,68.63381367450,-13.40000000000
2038,-149.62515487300,68.63378025290,-14.40000000000
2039,-149.62513962000,68.63374983180,-11.70000000000
2040,-149.62512287800,68.63372087210,-9.60000000000
2041,-149.62510557600,68.63369051230,-8.70000000000
2042,-149.62508694200,68.63366347170,-7.50000000000
2043,-149.62507131000,68.63363842410,-7.00000000000
2044,-149.62505742800,68.63361509070,-7.00000000000
2045,-149.62504055800,68.63358969590,-6.60000000000
2046,-149.62502761300,68.63356612580,-6.80000000000
2047,-149.62501355700,68.63354017310,-7.00000000000
2048,-149.62499550900,68.63350988790,-7.70000000000
2049,-149.62497959400,68.63348063680,-8.40000000000
2050,-149.62496602900,68.63345522210,-8.90000000000
2051,-149.62495135600,68.63343181960,-9.40000000000
2052,-149.62493909400,68.63340658760,-10.10000000000
2053,-149.62492603800,68.63338564110,-10.80000000000
2054,-149.62491286500,68.63336293700,-11.30000000000
2055,-149.62489974600,68.63333934860,-11.40000000000
2056,-149.62488792400,68.63331249820,-11.60000000000
2057,-149.62487727900,68.63328760280,-11.50000000000
2058,-149.62486810300,68.63326391100,-10.90000000000
2059,-149.62485805500,68.63324174980,-9.50000000000
2060,-149.62485491900,68.63321795720,-8.00000000000
2061,-149.62485951900,68.63319822870,-6.40000000000
2062,-149.62486718000,68.63317584820,-5.50000000000
2063,-149.62488253700,68.63315713960,-4.50000000000
2064,-149.62490409400,68.63314078640,-3.90000000000
2065,-149.62493278800,68.63312549420,-3.30000000000
2066,-149.62496367900,68.63311157280,-3.10000000000
2067,-149.62500067300,68.63310022100,-2.70000000000
2068,-149.62504039500,68.63309075390,-1.90000000000
2069,-149.62508189800,68.63308305950,-1.80000000000
2070,-149.62512834800,68.63307810990,-1.20000000000
2071,-149.62517507500,68.63307754630,-1.20000000000
2072,-149.62522229100,68.63307891530,-1.20000000000
2073,-149.62526767300,68.63308140580,-1.20000000000
2074,-149.62530003000,68.63308820730,-1.20000000000
2075,-149.62533120500,68.63309496780,-1.20000000000
2076,-149.62536742600,68.63309989020,-1.30000000000
2077,-149.62540189600,68.63310364640,-1.30000000000
2078,-149.62544425000,68.63310776260,-1.30000000000
2079,-149.62548699700,68.63311407060,-1.30000000000
2080,-149.62554198300,68.63312485510,-1.30000000000
2081,-149.62559623900,68.63314136480,-1.30000000000
2082,-149.62564333700,68.63316181550,-1.40000000000
2083,-149.62568049100,68.63318570100,-1.40000000000
2084,-149.62569962900,68.63321027690,-1.40000000000
