Longitude,Latitude,Depth
-99.25320999,47.13077882,-2.2
-99.25319177,47.1307636,-2.2
-99.25317633,47.13074615,-2.2
-99.25316097,47.13072733,-2.2
-99.2531448,47.13070835,-2.1
-99.25312853,47.13068932,-2.1
-99.25311219,47.13067161,-2.1
-99.25309527,47.13065289,-2.2
-99.25307866,47.13063579,-2.2
-99.25306133,47.1306178,-2.2
-99.25304279,47.130599,-2.2
-99.2530238,47.13058123,-2.1
-99.25300373,47.13056384,-2.2
-99.25298293,47.13054826,-2.2
-99.25296246,47.13053383,-2.2
-99.25293965,47.13051767,-2.2
-99.25291595,47.13050289,-2.2
-99.25289259,47.13048911,-2.2
-99.25286504,47.13047734,-2.2
-99.25284064,47.1304654,-2.2
-99.25281283,47.13045555,-2.2
-99.25278426,47.13044439,-2.2
-99.25275806,47.13043375,-2.2
-99.25272791,47.13042546,-2.2
-99.25269803,47.13041659,-2.2
-99.25266913,47.13040708,-2.2
-99.25264257,47.13039518,-2.2
-99.25261674,47.13038458,-2.2
-99.2525907,47.13037177,-2.2
-99.25256322,47.13035922,-2.2
-99.25253988,47.13034759,-2.2
-99.25251874,47.13033323,-2.2
-99.2524991,47.13031576,-2.2
-99.25248113,47.13029877,-2.2
-99.25246142,47.13028135,-2.2
-99.25244282,47.13026418,-2.2
-99.25242399,47.13024695,-2.2
-99.25240536,47.13023159,-2.2
-99.25238696,47.13021411,-2.2
-99.2523646,47.13019684,-2.1
-99.25234414,47.13017925,-2.1
-99.25232369,47.13016204,-2.2
-99.25230274,47.13014852,-2.2
-99.25228176,47.13013302,-2.2
-99.25225827,47.1301177,-2.1
-99.25223508,47.13010374,-2.1
-99.25220929,47.13009014,-2.1
-99.25218161,47.13007919,-2.1
-99.25215814,47.13006663,-2.3
-99.25213176,47.1300542,-2.3
-99.2521066,47.13004136,-2.1
-99.2520789,47.13002734,-2.2
-99.25205341,47.13001596,-2.2
-99.25202502,47.13000634,-2.1
-99.25199773,47.12999509,-2.1
-99.25197184,47.12998506,-2.2
-99.25194462,47.1299749,-2.2
-99.25191621,47.12996562,-2.2
-99.25188501,47.12995712,-2.2
-99.25185853,47.12994876,-2.1
-99.25183083,47.1299382,-2.2
-99.25180269,47.12992648,-2.1
-99.25177515,47.12991294,-2.2
-99.25174962,47.12990014,-2.1
-99.2517245,47.12988703,-2.1
-99.25170028,47.12987452,-2.1
-99.251675,47.12985938,-2
-99.25164932,47.12984541,-2
-99.25162606,47.12983108,-1.9
-99.25159837,47.12981731,-1.9
-99.25157452,47.129802,-1.9
-99.25154882,47.12978972,-1.9
-99.25152358,47.12977405,-1.8
-99.25149809,47.12975904,-1.8
-99.25147411,47.12974291,-1.7
-99.2514492,47.1297274,-1.6
-99.25142541,47.12971275,-1.5
-99.25140231,47.12969809,-1.4
-99.2513845,47.12967944,-1.3
-99.25137192,47.12966063,-1.2
-99.25137586,47.1296412,-1.1
-99.25137978,47.12962283,-1.1
-99.25139159,47.12961042,-1.1
-99.25141075,47.12959811,-1
-99.25143259,47.12958435,-1
-99.25146045,47.12957307,-1
-99.25148829,47.12956937,-1
-99.25151884,47.12957113,-1.1
-99.25155034,47.12957289,-1.3
-99.25158137,47.12957466,-1.3
-99.25161086,47.1295806,-1.4
-99.251641,47.12958966,-1.5
-99.25167169,47.12959884,-1.6
-99.25170061,47.12961281,-1.7
-99.25172662,47.12962845,-1.8
-99.25175456,47.12964333,-1.8
-99.25177798,47.12966063,-1.9
-99.25180168,47.12967814,-1.9
-99.25182554,47.129697,-1.9
-99.25185016,47.1297158,-2
-99.25187335,47.12973594,-2
-99.25189671,47.12975649,-2.1
-99.25192004,47.12977374,-2.1
-99.2519455,47.12979272,-2.1
-99.25196857,47.1298094,-2.1
-99.25199539,47.12982656,-2.1
-99.25202072,47.12984411,-2.1
-99.25204816,47.12986088,-2.1
-99.25207581,47.12987727,-2.1
-99.25210242,47.12989228,-2.1
-99.25213098,47.12990647,-2.2
-99.25215544,47.12992288,-2.1
-99.25218507,47.12993853,-2.1
-99.2522129,47.12995328,-2.1
-99.25224092,47.12996852,-2.1
-99.25226814,47.12998336,-2.1
-99.25229674,47.12999918,-2.1
